fiindex,fi_opcode,crash,benign,SDC
5907,load,0.03333333333333333,0.43333333333333335,0.5333333333333333
5908,getelementptr,0.8333333333333334,0.13333333333333333,0.033333333333333326
5910,getelementptr,0.8666666666666667,0.03333333333333333,0.09999999999999998
5911,load,0.03333333333333333,0.5666666666666667,0.4
5912,getelementptr,0.6,0.3,0.09999999999999998
5914,add,0.9333333333333333,0.06666666666666667,0.0
5915,icmp,0.06666666666666667,0.43333333333333335,0.5
5923,phi,0.9666666666666667,0.0,0.033333333333333326
5924,getelementptr,0.7666666666666667,0.0,0.23333333333333328
5925,load,0.5333333333333333,0.0,0.4666666666666667
5926,sext,0.7666666666666667,0.03333333333333333,0.19999999999999996
5927,getelementptr,0.8333333333333334,0.0,0.16666666666666663
5928,load,0.0,0.5666666666666667,0.43333333333333335
5929,fadd,0.0,0.43333333333333335,0.5666666666666667
5931,add,1.0,0.0,0.0
5932,icmp,0.13333333333333333,0.0,0.8666666666666667
3119,phi,0.7666666666666667,0.13333333333333333,0.09999999999999998
3120,getelementptr,0.7333333333333333,0.1,0.16666666666666674
